DATE,CLVMNACSAB1GQCH
1999-01-01,123589.5
1999-04-01,124163.1
1999-07-01,125440.3
1999-10-01,128354.1
2000-01-01,129338.8
2000-04-01,129707.0
2000-07-01,130645.1
2000-10-01,131825.5
2001-01-01,132398.8
2001-04-01,132841.1
2001-07-01,132239.9
2001-10-01,132258.9
2002-01-01,132209.9
2002-04-01,132644.9
2002-07-01,132770.3
2002-10-01,132091.6
2003-01-01,131047.0
2003-04-01,131407.0
2003-07-01,132775.9
2003-10-01,134352.7
2004-01-01,135189.4
2004-04-01,135999.6
2004-07-01,136536.6
2004-10-01,136605.0
2005-01-01,137346.6
2005-04-01,139431.7
2005-07-01,140721.6
2005-10-01,142337.5
2006-01-01,143812.3
2006-04-01,144858.4
2006-07-01,146041.0
2006-10-01,147700.1
2007-01-01,149218.3
2007-04-01,150754.6
2007-07-01,151952.0
2007-10-01,153771.4
2008-01-01,155056.6
2008-04-01,157040.1
2008-07-01,157329.8
2008-10-01,152876.3
2009-01-01,150267.3
2009-04-01,151310.2
2009-07-01,153221.1
2009-10-01,154510.7
2010-01-01,155524.7
2010-04-01,156596.1
2010-07-01,158067.5
2010-10-01,159109.7
2011-01-01,160035.4
2011-04-01,160783.0
2011-07-01,160097.2
2011-10-01,160559.9
2012-01-01,162475.0
2012-04-01,161627.2
2012-07-01,162547.7
2012-10-01,162573.1
2013-01-01,163315.1
2013-04-01,165005.3
2013-07-01,166063.2
2013-10-01,166546.6
2014-01-01,167572.0
2014-04-01,168926.3
2014-07-01,169938.1
2014-10-01,170796.5
2015-01-01,170421.0
2015-04-01,171568.2
2015-07-01,172923.4
2015-10-01,173621.1
2016-01-01,174131.9
2016-04-01,175493.4
2016-07-01,176137.9
2016-10-01,176980.9
2017-01-01,177262.4
2017-04-01,177569.5
2017-07-01,178649.9
2017-10-01,180378.9
2018-01-01,182675.7
2018-04-01,184374.4
2018-07-01,183460.2
2018-10-01,184032.5
2019-01-01,184653.1
2019-04-01,185434.8
2019-07-01,186284.7
2019-10-01,187125.1
2020-01-01,184440.1
2020-04-01,173004.5
2020-07-01,184054.0
2020-10-01,183907.1
2021-01-01,183680.4
2021-04-01,186914.1
2021-07-01,190714.2
2021-10-01,191266.4
